direccionamiento: directo , Tipo mensaje: send Tipo cola: FIFO , Origen:0 destino 1 contenido: hjhk, procesado
direccionamiento: directo , Tipo mensaje: send Tipo cola: FIFO , Origen:1 destino 2 contenido: hjhk, procesado
direccionamiento: directo , Tipo mensaje: send Tipo cola: FIFO , Origen:1 destino 0 contenido: holaXXXXXX, procesado
direccionamiento: directo , Tipo mensaje: send Tipo cola: FIFO , Origen:1 destino 0 contenido: holaXXXXXX, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: Prioridad , Origen:0 destino 15 contenido: prueba 1, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: Prioridad , Origen:0 destino 10 contenido: prueba 1
, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: Prioridad , Origen:5 destino 10 contenido: prueba 1, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino Canon contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino Canon contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino Canon contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino HP contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino HP contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Mi_app destino HP contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino Canon contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\log.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino Canon contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\log.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino Canon contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\Prueba.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino Canon contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\Prueba.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino Canon contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\Prueba.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino HP contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino HP contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino HP contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Excel destino HP contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Excel destino HP contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino Canon contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Word destino Canon contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Excel destino HP contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Excel destino HP contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Excel destino HP contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
direccionamiento: indirecto , Tipo mensaje: send Tipo cola: FIFO , Origen:Excel destino HP contenido: D:\Users\Gerardo\Documents\GitHub\SOproyecto2\proyecto1SO\proyecto1SO\bin\Debug\create.txt, procesado
